Sr_No,Names,Mini,Conevertible,Four_in_one,Three_in_one,Rail,Stationary_Fixed,Comapct,Feature_score
1,DaVinci Alpha Mini Rocking Crib,1,0,0,0,0,0,0,1
2,DaVinci Emily 4 in 1 Crib including Toddler Rail,0,0,1,0,1,0,0,2
3,DaVinci Mini Emily Crib,1,0,0,0,0,0,0,1
4,DaVinci Annabelle Mini Crib,1,0,0,0,0,0,0,1
5,"LA Baby Window Crib with Dual Clear View, Natural",0,0,0,0,0,0,0,0
6,Delta Childrens Products Canton 4 in 1 Convertible Crib,0,1,1,0,0,0,0,2
7,Graco Charleston Non-Drop Classic Crib,0,0,0,0,0,0,0,0
8,Stork Craft Tuscany 4-in-1 Stages Crib,0,0,1,0,0,0,0,1
9,Delta Children's Products Portable Mini Crib,1,0,0,0,0,0,0,1
10,Westwood Design Stratton Convertible Crib with Guard Rail,0,1,0,0,1,0,0,2
11,Davinci Jenny Lind Stationary Crib,0,0,0,0,0,1,0,1
12,DaVinci Kalani Mini Crib,1,0,0,0,0,0,0,1
13,"Delta Canton 4-in-1 Convertible Crib, Espresso Cherry",0,1,1,0,0,0,0,2
14,DaVinci Jamie 4 in 1 Convertible Crib,0,1,1,0,0,0,0,2
15,"Davinci Annabelle Mini Crib, White",1,0,0,0,0,0,0,1
16,DaVinci Porter 4-in-1 Convertible Crib,0,1,1,0,0,0,0,2
17,Foundations SafetyCraft Clearview Compact Crib,0,0,0,0,0,0,1,1
18,Foundations Hideaway Compact Sized Folding Crib,0,0,0,0,0,0,1,1
19,Foundations Serenity Compact Sized Clearview Crib,0,0,0,0,0,0,1,1
20,"Foundations First Responder Compact Sided Evacuation Clearview Crib with Evacuation Frame, Natural",0,0,0,0,0,0,1,1
21,Child Craft Logan Traditional Stationary Crib,0,0,0,0,0,1,0,1
22,Child Craft Logan Lifetime Convertible Crib,0,1,0,0,0,0,0,1
23,Stork Craft Vittoria 3-in-1 Fixed Side Convertible Crib,0,1,0,1,0,1,0,3
24,Stork Craft Verona 4-in-1 Fixed Side Convertible Crib,0,1,1,0,0,1,0,3
25,Stork Craft Venetian 4-in-1 Fixed Side Convertible Crib,0,1,1,0,0,1,0,3
26,Babyletto Grayson Mini Crib,1,0,0,0,0,0,0,1
27,Stork Craft Valentia Fixed Side Convertible Crib,0,1,0,0,0,1,0,2
28,"Foundations Evacuation Frame with Chrome Casters, Red/Chrome",0,0,0,0,0,0,0,0
29,"Foundations Evacuation Frame with Antique Brass Casters, Red/Antique Brass",0,0,0,0,0,0,0,0
30,"Child Craft Hawthorne Lifetime Convertible Crib, Espresso",0,1,0,0,0,0,0,1
31,"Foundations Royale Folding Fixed Side Compact Crib, Antique Cherry, 0-36 Months",0,0,0,0,0,1,1,2
32,Westwood Design Waverly Convertible Crib with Guard Rail,0,1,0,0,1,0,0,2
33,"Westwood Design Kingston Convertible Crib, Chocolate Mist",0,1,0,0,0,0,0,1
34,"Child Craft Monterey 3-in-1 Stationary Crib, Jamocha",0,0,0,1,0,1,0,2
35,Stork Craft Bradford 4 in 1 Fixed Side Convertible Crib Changer,0,1,1,0,0,1,0,3
36,Stork Craft Modena 4 in 1 Fixed Side Convertible Crib,0,1,1,0,0,1,0,3
37,"Child Craft Monterey 3-in-1 Stationary Crib, Matte White",0,0,0,1,0,1,0,2
38,Stork Craft Turin Nursery In a Box,0,0,0,0,0,0,0,0
39,"Babyletto Mercer 3 in 1 Convertible Crib, Grey/White",0,1,0,1,0,0,0,2
40,"Million Dollar Baby Annabelle 4-in-1 Convertible Crib, Espresso",0,1,1,0,0,0,0,2
41,DaVinci Kalani 4-in-1 Convertible Crib with Toddler Rail,0,1,1,0,1,0,0,3
42,DaVinci Alpha Mini Rocking Crib - Cherry,1,0,0,0,0,0,0,1
43,DaVinci Emily Mini Crib,1,0,0,0,0,0,0,1
44,DaVinci Parker 4-in-1 Convertible Crib with Toddler Rail,0,1,1,0,1,0,0,3
45,"LA Baby Deluxe Holiday Metal Crib, White",0,0,0,0,0,0,0,0
46,DaVinci Emily 4-in-1 Convertible Crib with Toddler Rail,0,1,1,0,1,0,0,3
47,DaVinci Jayden 4-in-1 Convertible Crib with Toddler Rail,0,1,1,0,1,0,0,3
48,"DaVinci Richmond 4-in-1 Convertible Crib with Toddler Rail, Espresso",0,1,1,0,1,0,0,3
49,DaVinci Reagan 4 in 1 Convertible Crib with Toddler Rail,0,1,1,0,1,0,0,3
50,DaVinci Rivington 4-in-1 Crib,0,0,1,0,0,0,0,1
51,DaVinci Thompson 4-in-1 Crib with Toddler Rail,0,0,1,0,1,0,0,2
52,babyletto Modo 3-in-1 Convertible Crib with Toddler Rail,0,1,0,1,1,0,0,3
53,DaVinci Jenny Lind 3-in-1 Convertible Crib,0,1,0,1,0,0,0,2
54,Graco Somerset Convertible Crib,0,1,0,0,0,0,0,1
55,DaVinci Kalani Crib and Changer Combo with Toddler Rail,0,0,0,0,1,0,0,1
56,babyletto Mercer 3 in 1 Convertible Crib with Toddler Rail,0,1,0,1,1,0,0,3
57,"Westwood Design Jonesport Convertible Crib, Virginia Cherry",0,1,0,0,0,0,0,1
58,Foundations StowAway Folding Compact Size Crib with Mattress,0,0,0,0,0,0,1,1
59,Foundations Pinnacle Folding Compact Steel Crib with Foam Mattress - White,0,0,0,0,0,0,1,1
60,babyletto Grayson Mini Crib with Mattress Pad,1,0,0,0,0,0,0,1
61,"Foundations Biltmore Safereach Compact Crib, Clearview, 0-36 Months",0,0,0,0,0,0,1,1
62,"Child Craft Camden 4-in-1 Convertible Crib, Jamocha",0,1,1,0,0,0,0,2
63,South Shore Crib and Toddler Bed,0,0,0,0,0,0,0,0
