base_uniq_identifier,OD_Final_Price,Amz_Final_Price,Floor,Ceiling,Holiday_Season_Dummy,rank,Cost
114064,26.79,26.79,26.79,39.59,1,1,17.94
114128,13.99,10.99,13.99,13.99,1,0,NA
117898,5,4.61,3.69,5,1,2,2.98
132907,7.79,5.29,4.23,7.79,1,2,NA
171546,1.59,1.59,1.59,2.39,1,1,0.82
171553,1.59,3.6,1.37,1.59,1,2,0.82
171561,2.89,2.89,2.31,2.89,1,2,1.78
171660,2.69,8.28,2.63,2.69,1,2,1.44
172106,33.49,31.84,33.49,53.99,1,1,23.36
172353,1.99,5.11,1.83,1.99,1,2,1.25
172395,3.09,4.73,2.06,3.09,1,2,1.59
172627,10.69,1.87,1.5,10.69,1,2,NA
172635,6.19,7.66,6.19,9.19,1,1,4.6
173013,2.69,3.97,2.69,7.19,1,1,1.5
173021,4.99,6.25,4.99,4.99,1,0,2.68
173047,3.49,3.49,2.3,3.49,1,2,1.95
173054,6.99,1.98,6.99,12.64,1,1,NA
173096,3.99,6.36,3.99,7.63,1,1,2.06
173302,69.99,NA,63.44,69.99,1,2,NA
173328,31.49,28.22,31.49,48.71,1,1,16.18
173336,5.99,4.28,2.39,5.99,1,2,1.58
173393,11.99,11.2,11.99,11.99,1,0,7.34
190658,9.79,9.42,9.79,15.83,1,1,5.99
198249,9.99,7.99,9.99,13.19,1,1,5.99
199149,7.49,7.49,7.49,8.99,1,1,3.5
205699,31.99,25.86,31.99,36.35,1,1,26.42
213940,19.49,7.45,5.96,19.49,1,2,8.31
215289,4.19,4.19,3.35,4.19,1,2,3.32
220735,3.99,3.99,3.99,3.99,1,0,NA
220753,3.99,NA,0,3.99,1,2,NA
222118,59.99,25,20,59.99,1,2,32.16
232403,9.99,9.99,7.99,9.99,1,2,6.59
234567,3.99,2.77,3.99,4.8,1,1,2.19
234575,3.59,4.38,2.89,3.59,1,2,2.08
238698,6.99,5,4,6.99,1,2,3.56
241447,9.99,9.3,7.44,9.99,1,2,6.99
248352,10.59,10.59,10.59,27.49,1,1,6.61
257113,45.49,31.03,45.49,38.15,1,1,22.43
259633,12,12,12,18.47,1,1,8.09
268782,337.99,265.85,337.99,319.02,1,1,NA
268827,517.99,584.82,354.79,517.99,1,2,NA
268836,439.99,391.56,439.99,507.68,1,1,NA
268845,384.99,NA,384.99,0,1,1,NA
273280,203.99,139.26,203.99,1319.99,1,1,#N/A
273312,198.49,200.06,160.05,198.49,1,2,NA
273384,115.99,133.07,115.99,115.99,1,0,NA
281621,9.59,6.59,9.59,7.91,1,1,NA
283295,9.99,NA,0,9.99,1,2,#N/A
283790,9.99,NA,0,9.99,1,2,4.42
303619,4.99,8.5,3.98,4.99,1,2,2.75
304038,174.99,112.36,89.89,174.99,1,2,115.74
305289,50.49,39.31,31.45,50.49,1,2,32.65
305324,31.39,24.99,31.39,31.39,1,0,16.37
319509,1.79,4.35,1.06,1.79,1,2,NA
328093,8.49,7.99,6.39,8.49,1,2,5.99
328147,9.99,4.99,9.99,11.99,1,1,NA
331345,13.29,11.42,13.29,13.7,1,1,NA
346474,19.99,21.21,19.99,33.58,1,1,11.59
351430,26.69,23,14.25,26.69,1,2,NA
351457,49.89,8.26,6.61,49.89,1,2,NA
384114,18.49,8.79,18.49,20.46,1,1,9.99
391775,5,4.97,5,7.73,1,1,2.96
392885,18.69,18.52,14.82,18.69,1,2,11.47
392955,9.89,6.58,9.89,10.19,1,1,4.44
393045,14.79,13.99,14.79,14.79,1,0,6.53
393105,18.79,18.28,14.62,18.79,1,2,12.73
397901,14.49,6.99,5.59,14.49,1,2,NA
401194,13.99,7.99,13.99,12.59,1,1,4.92
403405,46.19,30.89,46.19,49,1,1,28.09
419125,19.89,26.53,16.79,19.89,1,2,NA
422392,9.69,5.1,2.79,9.69,1,2,3.32
431954,5.49,3.59,2.81,5.49,1,2,1.88
446825,39.59,31.67,39.59,52.43,1,1,25.68
450260,13.29,9.99,13.29,15.59,1,1,NA
451826,54.79,50.68,54.79,76.79,1,1,20.5
452464,11.49,11.42,11.49,19.79,1,1,11.67
452913,28.99,24.62,17.94,28.99,1,2,16.38
452922,36.59,22.12,36.59,36.59,1,0,23.18
452949,38.99,22.48,17.98,38.99,1,2,15.44
453064,4.99,3.59,2.87,4.99,1,2,2.8
453316,5.49,6.42,5.49,9.59,1,1,NA
472664,12.99,15.33,12.99,18.4,1,1,7.22
472975,5.79,9.09,7.13,5.79,1,2,2.96
473576,28.99,15.99,2.79,28.99,1,2,13.31
473648,7.99,NA,0,7.99,1,2,3.25
473656,6.99,NA,0,6.99,1,2,4.67
489461,25.09,15.49,12.39,25.09,1,2,13.9
508218,4.89,4.49,4.89,6.23,1,1,2.74
515344,3.79,7.22,2.39,3.79,1,2,1.88
520328,4.29,4.28,2.81,4.29,1,2,1.93
520496,17.99,NA,0,17.99,1,2,10.23
520744,2.19,3.18,2.19,4.19,1,1,0.83
520928,19.09,15.49,19.09,29.99,1,1,7.37
534897,27.99,15.49,27.99,32.92,1,1,NA
567114,11.39,11.39,9.11,11.39,1,2,8.09
567213,21.19,12.99,21.19,25.19,1,1,9.48
575341,19.79,NA,0,19.79,1,2,3.92
578825,36.49,21.58,17.26,36.49,1,2,14.99
597020,18.49,14.99,18.49,18.49,1,0,9.92
597050,21.19,15.73,2.79,21.19,1,2,10.76
598614,47.49,46.72,37.38,47.49,1,2,29.99
598668,4.89,4.17,4.89,7.31,1,1,2.59
599284,23.39,11.68,9.34,23.39,1,2,8.46
602710,9.09,NA,4.7,9.09,1,2,3.26
619642,3.39,3.39,3.39,6.79,1,1,1.64
625312,37.39,30.15,37.39,48.35,1,1,23.18
627048,2.99,4.46,2.99,5.35,1,1,NA
637651,9.99,5.99,9.99,7.79,1,1,3.4
651328,4.99,6.59,4.99,7.91,1,1,3.28
652497,16.99,10.6,16.99,29.83,1,1,9.31
673935,2.39,2.39,2.39,7.73,1,1,NA
693301,8.79,11.06,8.79,17.54,1,1,6.11
706260,6.49,5.99,4.79,6.49,1,2,3.8
706265,12.89,10.07,8.06,12.89,1,2,6.32
726795,314.99,208.55,314.99,250.26,1,1,NA
729243,3.39,7.03,3.39,8.44,1,1,NA
729940,11.89,11.89,9.51,11.89,1,2,8.64
732465,4.59,5.89,3.75,4.59,1,2,NA
733145,13.69,13.82,8.79,13.69,1,2,NA
738652,1.79,3.99,1.79,4.79,1,1,NA
744951,3.59,4.51,3.59,5.41,1,1,NA
745021,4.89,5.03,4.89,6.59,1,1,2.66
762295,2.49,4.66,1.83,2.49,1,2,NA
764885,1.99,1.99,1.99,4.19,1,1,1.37
768890,2.49,6.92,5.54,2.49,1,2,1.08
779425,2.39,2.39,2.39,2.39,1,0,1.08
806393,33.99,19.64,15.71,33.99,1,2,NA
838397,24.79,24.79,24.79,41.4,1,1,27.06
838406,4.49,10.22,4.49,12.26,1,1,2.5
838442,4.49,4.49,4.49,10.07,1,1,2.5
838469,11.99,8.32,6.66,11.99,1,2,NA
838487,28.59,21.8,28.59,47.39,1,1,18.66
840426,3.99,4.85,3.26,3.99,1,2,2.25
852129,8.09,8.09,6.47,8.09,1,2,3.01
871315,7.49,7.49,7.49,9.35,1,1,3.56
875250,26.99,15.9,12.72,26.99,1,2,16.2
880053,12.19,17.52,12.19,21.02,1,1,6.4
887929,12.99,NA,0,12.99,1,2,6.99
887938,12.99,NA,12.99,0,1,1,5.99
908026,9.99,12.99,9.99,17.98,1,1,5.99
909982,4.99,4.9,4.99,5.88,1,1,NA
910372,1.09,1.09,0.87,1.09,1,2,0.54
910380,2.79,2.79,2.79,4.14,1,1,1.28
910398,1.29,3.56,1.12,1.29,1,2,0.45
910406,1.79,4.99,1.79,5.99,1,1,0.71
910414,9.89,10.17,9.89,21.01,1,1,NA
910422,1.59,3.63,1.59,9.14,1,1,0.57
910430,2.19,3.84,2.19,9.35,1,1,0.72
910448,9.99,9.99,9.99,24.23,1,1,6.89
910471,12.99,NA,0,12.99,1,2,NA
910489,2.39,2.39,1.91,2.39,1,2,1.59
910497,5.09,5.09,5.09,6.11,1,1,3.95
910638,6.79,6.79,6.79,10.79,1,1,3.96
910646,7.49,7.49,7.49,15.95,1,1,5.7
917243,8.79,8.79,8.79,16.74,1,1,5.81
921017,9.99,14.99,7.99,9.99,1,2,7.49
921026,9.99,11.17,8.94,9.99,1,2,NA
921053,9.99,13.93,9.99,17.99,1,1,7.49
921062,9.99,11.99,7.99,9.99,1,2,7.49
921116,9.99,14.02,9.99,17.99,1,1,7.49
921134,9.99,10.91,8.73,9.99,1,2,7.49
921143,9.99,14.16,11.33,9.99,1,2,NA
921152,9.99,9.99,7.99,9.99,1,2,NA
921179,9.99,9.99,7.99,9.99,1,2,7.49
921188,9.99,9.99,9.99,17.99,1,1,NA
921206,9.99,14.16,9.99,17.99,1,1,7.49
921269,9.99,14.53,9.99,17.99,1,1,NA
921278,9.99,13.95,9.99,17.99,1,1,NA
921287,9.99,13.99,9.99,17.99,1,1,NA
921314,9.99,12.99,10.39,9.99,1,2,NA
921323,9.99,12.18,9.99,17.99,1,1,NA
921332,9.99,14.84,9.99,17.99,1,1,NA
921368,9.99,8.22,9.99,17.99,1,1,NA
921377,9.99,14.16,9.99,17.99,1,1,NA
921386,9.99,9.99,7.99,9.99,1,2,7.49
921404,9.99,14.16,11.33,9.99,1,2,NA
921413,9.99,13.99,9.99,17.99,1,1,7.49
921458,9.99,14.15,11.32,9.99,1,2,NA
921467,9.99,5.73,9.99,17.99,1,1,NA
921476,9.99,14.16,9.99,17.99,1,1,NA
921503,9.99,13.88,9.99,17.99,1,1,NA
921557,9.99,11.42,9.99,17.99,1,1,NA
921566,9.99,14.16,9.99,17.99,1,1,NA
921602,9.99,14.16,11.33,9.99,1,2,NA
925961,5.49,6.05,5.49,7.26,1,1,2.16
942322,22.49,21.9,17.52,22.49,1,2,18.66
946343,1.09,22.97,1.09,27.56,1,1,0.27
958033,6.19,4.36,3.49,6.19,1,2,NA
982304,13.39,7.45,5.96,13.39,1,2,5.64
986872,9.99,4.99,9.99,17.96,1,1,4.23
