"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54"
"kohl_Regular_price",-0.0209093710151669,-0.25913234438853,0.100616191298621,-0.0581942219850675,0.0232579069004197,-0.153572621868557,0.0205070916445831,-0.00954199608955125,0.03012073427809,-0.0045380720611894,0.0312766502283564,-0.0202188462256042,0.0930208649127164,-0.0639957114416498,0.0225748128230597,-0.00863982586333629,-0.0213326222779417,0.094545089764978,-0.0159269754685577,-0.0253052674304582,-0.07071854293789,0.0602446596036945,0.010732850648468,0.155448334024089,-0.107620335087066,-0.221768235602008,-0.442543559182515,-0.0687148290431124,0,0,-0.757687850821862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kohl_disc_perc",-0.0486845189211968,-0.153432449275032,0.0973122021779402,-0.0129046204295939,-0.0598722939031265,-0.161258773718264,0.0890782574035758,0.248552476822235,-0.00606355722058903,-0.521613496254566,0.119978267458596,-0.231513958039265,-0.263144884618263,0.221275936489298,-0.108447337680663,-0.014490680753863,0.198878002484038,0.438555372171015,-0.0196767424187504,-0.041663987986027,-0.223175532305703,-0.0156160159001552,0.0578124312323998,-0.258350122717665,0.117331030127249,0.159055747137514,0.0163560857061574,0.0371802958420488,1.20652841934156e-15,-9.96118467581669e-16,-1.66533453693773e-16,3.56782490520299e-17,1.46786452941096e-15,-2.60825838400279e-15,1.15370171304638e-15,5.1715023801047e-16,-7.45323592449536e-16,2.19781151809065e-16,1.13793134770496e-15,5.63217982968423e-16,-1.44110913853863e-16,1.39071559397288e-15,3.20310995632342e-16,3.23536734609385e-16,2.72359167587139e-16,8.38464295596559e-16,3.74900112402504e-16,7.79174681859556e-17,-5.2460919027436e-17,-4.52434945322488e-18,-5.33662761465889e-18,5.98479131565863e-16,-5.50423201732344e-16,-1.10710667769632e-16
"kohl_markdown_price",-0.0245623296797913,-0.186287323125012,0.072393616781501,-0.0106935631873346,0.00675881931454714,-0.190062815763202,0.112606459007543,0.198203716374344,-0.0485267451994173,-0.502355388544934,0.0286817778023138,0.0244101536313175,-0.140356672570799,-0.0913463761249349,0.0600000920574525,-0.0495120539886639,-0.277823803348054,-0.659563667522803,0.0448427324243996,0.0984398995455387,0.230361313608846,0.0203371708506684,-0.0536466498978976,-0.00938834329706491,0.0224110736649139,0.0105549621943402,0.00168012094362249,0.000233655577598739,-2.00805435443813e-15,1.85475057122049e-15,-4.16333634234434e-16,1.87740224136762e-15,-1.82879843024678e-16,1.54190089647049e-15,-8.40487021317988e-16,5.15721667804044e-16,1.32290096955331e-16,2.33739616027361e-16,-7.48039067137414e-16,-2.1314715645317e-17,1.12306861733844e-16,-9.53622882748499e-16,-1.82472951197227e-15,4.07635126508901e-16,-8.8537887646969e-16,1.89944170829152e-16,6.66559822954689e-16,-1.03966027204076e-16,3.86396684992636e-17,5.86510579117898e-18,-1.1051609139401e-17,2.20067192836392e-16,2.46394128585008e-16,-2.01992403827762e-16
"kohl_final_price",-0.0142632715530815,-0.258345492073516,0.0957726450273101,-0.055095967598392,0.0361105976882321,-0.138628100074472,0.0161124945878455,-0.0610674689070559,0.0306716155659157,0.0913980565386071,0.0190226116438387,0.0248167461579699,0.144867019136448,-0.122749977323629,0.0412069716054652,-0.0146844996363332,-0.0522803144846745,0.0384199995777815,-0.0162970109553448,-0.0374251422116421,-0.0330835414622366,0.0479347602528278,0.0196003308079881,-0.0692326047011439,0.00781446154228674,0.154063476707373,0.201702509350202,0.0360901723382091,0.00267573597493389,0.029223736027183,1.50573997714787e-15,-0.0105194260166044,-0.00257142606870177,0.0717444136652797,-0.0816757488687812,0.0346626560605813,0.121776628327612,0.0572246316958146,0.264754139201002,0.11840242919925,0.332130328258738,0.160955075753039,-0.332850923381197,-0.0877949485161432,-0.155651110120057,0.497509800057784,0.227535143292639,-0.0832492285330497,-0.0111941149903814,-5.6978835144297e-16,2.07473127108865e-16,-0.117765179148609,0.0563960027385882,-0.222072711880578
"amazon_Regular_price",-0.0400813068888921,-0.227718088096959,-0.195018187397083,0.127366017392079,0.0151773827156471,0.0697568813024861,-0.0426627088626228,-0.0368975372141377,-0.0315033200317095,0.0648928549260631,-0.0535431279771548,0.0117811266773363,-0.136172919964968,0.129353527124759,0.145226545513565,-0.220594161704165,-0.0465641504666303,0.113304345833946,0.0558323828979404,0.369140737913585,0.175846715866334,0.0550452719734766,0.28344432817054,-0.0117602221519743,-0.0425492728317047,0.0106413005774834,-0.00197913927709087,-0.00467442787813618,-0.00931043367680947,-0.0246203430752727,-1.20736753927986e-15,0.0466688671416102,-0.626966637675307,0.0320538597533551,0.0505980548373036,0.0229076416927707,-0.15097119374633,0.00167842770106324,0.00358224197933213,0.0700180694408485,-0.0667447283159233,0.150237555436466,0.00293969732715564,0.106262007477695,-0.0643934252266169,0.0699914065369201,-0.0513182953140266,0.0508934511207729,-0.000856014416002314,-1.46102408129312e-16,1.29822984472121e-16,0.0276548525385005,-0.137324718565045,-0.000302794593840604
"amazon_Shipping",0.00870090172705013,0.0242124203836046,-0.0285124372979293,-0.0589948898647637,-0.112716407656986,0.191891963133808,0.0583619812238187,-0.0883223511240377,-0.417907794997724,-0.150727644488827,0.689245019107068,0.205411812563487,0.37256825376587,0.029039638297109,-0.107072018932852,-0.211489296623769,0.115413030667245,0.00231795720361483,0.010905207076679,0.0515510785194869,0.0669913282836527,0.00796959508728497,0.053114725889916,0.00550595018150667,-0.0123320365503405,0.00694130391581044,-0.0117086165155345,0.00265530701474281,2.9227380064778e-16,1.20942752340758e-16,-1.52655665885959e-16,2.7148422399037e-16,-1.70870262383715e-16,-9.3946118245869e-17,1.35091590691694e-16,1.17635935714677e-16,-1.58293517182884e-16,6.97684097994422e-17,-4.17959937493162e-17,4.77048955893622e-18,-1.3541685134344e-16,6.52689707836274e-17,1.0714627969588e-16,-4.42354486374086e-17,-3.41523684332934e-17,-3.90312782094782e-17,-1.29291109068896e-16,1.50162000889242e-16,2.24328205750829e-17,3.29257357740548e-18,-1.96282924620535e-20,1.63416372447878e-16,-3.72965547335014e-16,1.23870098206469e-16
"amazon_markdown_price",-0.0330559964083058,-0.226491516672181,-0.118931129788133,0.12136365568473,0.0146850452221834,0.0870394477124397,-0.00217383946985805,-0.0770622706270393,-0.124931281267856,0.127259345480684,-0.0839318402406833,0.0525848372370134,-0.229032650702929,0.241439810956951,0.0371534595598435,-0.556206796540602,0.139123657763169,-0.229257840792079,-0.0959825525805321,-0.54320515196839,-0.198911928739392,0.079529386682169,-0.136499629384377,0.0295219002983182,0.0159857629917784,0.00170716950587792,-0.000388539968739953,-0.00633154231663888,-4.0338419453681e-16,-1.13841228110978e-18,2.15105711021124e-16,3.59955121265187e-17,1.99926880606327e-16,3.68086637558829e-17,-2.69207399428151e-16,-6.6976589205292e-17,2.5955800009303e-16,-2.8568727244993e-17,3.51281503885303e-17,2.4611389315421e-17,1.15359111152458e-16,-3.08455518072126e-16,1.33573707650214e-16,-4.98732999343332e-18,-6.11490025281825e-17,-6.11490025281825e-17,-2.3635607360184e-17,-1.43873628288826e-16,3.1523178165016e-17,1.39761775179828e-19,4.71181014803511e-18,-1.98300577347599e-16,2.60208521396521e-18,6.76542155630955e-17
"amazon_final_price",-0.040081306888892,-0.227718088096959,-0.195018187397083,0.127366017392078,0.0151773827156472,0.0697568813024859,-0.042662708862623,-0.0368975372141374,-0.0315033200317094,0.0648928549260633,-0.0535431279771552,0.0117811266773371,-0.136172919964967,0.129353527124758,0.145226545513564,-0.220594161704164,-0.0465641504666304,0.113304345833946,0.0558323828979402,0.369140737913585,0.175846715866332,0.055045271973476,0.28344432817054,-0.0117602221519749,-0.042549272831706,0.0106413005774805,-0.00197913927709326,-0.00467442787813274,0.00931043367680929,0.0246203430752723,1.42941214420489e-15,-0.0466688671416093,0.626966637675309,-0.0320538597533557,-0.050598054837303,-0.022907641692771,0.15097119374633,-0.00167842770106275,-0.00358224197933225,-0.0700180694408485,0.0667447283159233,-0.150237555436466,-0.00293969732715632,-0.106262007477695,0.0643934252266171,-0.0699914065369197,0.051318295314027,-0.0508934511207725,0.000856014416002339,1.43565078634582e-16,-1.27854135677103e-16,-0.0276548525385003,0.137324718565045,0.000302794593840301
"Target_Regular_price",-0.0292765348598111,-0.2329651725302,0.0987317853520235,0.132100695404504,0.16009262395663,-0.147402258651892,0.0742388869137819,-0.0231457616681987,0.0234163813062965,0.0792651073696189,0.106480319422963,-0.0422667721416446,0.120650912717896,0.0378118942444743,0.0308836066326921,0.00472271545213254,-0.21390985589416,0.0884691975046689,-0.000138864300654053,-0.0220520206466914,-0.0874626951067785,-0.193823044525484,-0.0996406105878121,-0.000501879732766136,-0.206202135495743,0.0471197661954436,-0.623634202887382,-0.0426410838941077,1.28675282234925e-14,1.67990621413594e-14,0.531653482996164,9.55745899089422e-15,2.38697950294409e-15,-1.50053580671994e-15,8.18962953008651e-15,1.35828848168984e-15,-1.93248195223816e-15,7.69409492715201e-15,-1.13646071719931e-15,-5.82867087928207e-16,-4.04710986945389e-15,5.69336244815588e-15,-1.44936146417862e-15,-2.36963226818432e-15,1.34094124693007e-15,-5.7072402359637e-16,-2.77035339113496e-15,6.44449771325384e-15,-9.35937525398112e-17,8.22645241828572e-18,-2.06803005679955e-17,1.11534045887929e-14,-9.3119956190435e-15,-2.9321163552698e-15
"Target_disc_perc",-0.0263672521643277,-0.172667800855177,0.217263622899625,-0.0430935219700295,0.0778874031362526,0.152811160753444,-0.0544572176907864,7.33250589568524e-05,0.237544008900205,0.19143549614542,0.323972317477508,-0.0858937553159345,-0.2123175282549,0.24061352938602,-0.237609820041323,0.092815949566579,-0.0270154988597458,-0.246149257632481,0.0560674623194794,0.295926185924578,-0.422452754967848,-0.0739911086441589,-0.0429067276795906,0.0309488200235259,-0.233703352422921,-0.254420359678713,0.237202977090158,-0.0142202482694958,-4.98396896669862e-15,-6.24066770482656e-15,-3.7470027081099e-16,-3.51064663450806e-15,-3.09821612809458e-15,2.98329069781111e-15,-3.53341488013026e-15,-7.93419149824892e-16,1.2941037130787e-15,-2.7451999007333e-15,1.121932408088e-15,-6.29704621779581e-16,9.89063431849901e-16,-2.51534904016637e-15,1.72604985859692e-15,7.63278329429795e-17,-3.63424568217141e-16,-9.33281230075522e-16,-1.35260997281145e-16,-1.86808034319252e-15,7.39290356363553e-17,-6.0281883113923e-18,7.93215660190806e-18,-4.309187792565e-15,3.00627578386781e-15,5.44269490587723e-16
"Target_markdown_price",-0.0381775740495004,-0.180837103005163,0.218024889990058,-0.0205295111782988,0.0835385782280288,0.151870621110226,-0.0605268366798367,0.0453502636154329,0.250274758160409,0.146182202626835,0.268277121021707,-0.0994010411621118,-0.159356638631137,0.219312844204386,-0.139400243044412,0.137899930658384,0.000663662775193058,0.106358671521604,-0.0255765484519534,-0.271061173856102,0.690546844692208,0.0477080001096403,-0.0794979564812165,0.0932263559701492,0.156652208586733,-0.0114686829641266,0.00637942376844937,-0.00490708191306825,4.32705087038965e-16,-3.82072845583892e-16,-6.10622663543836e-16,7.71951946809679e-17,1.11716191852906e-15,-3.50414142147315e-16,-3.90746462963776e-16,-1.13515967459232e-15,4.64905891561784e-16,1.29941630372388e-16,-1.32185928869433e-15,2.52402265754625e-16,4.34114549863196e-16,-4.25007251614318e-16,-5.69422980989387e-16,1.11889664200504e-16,-1.32706345912226e-16,1.45716771982052e-16,2.30718222304915e-16,-1.07119174641568e-16,2.07489190759413e-17,4.4697414786101e-18,8.66993863623821e-18,3.5301622736128e-16,3.05311331771918e-16,8.78203759713259e-18
"Target_final_price",-0.0248659059737005,-0.219724370428308,0.0525790712016466,0.159965611236994,0.158666021049472,-0.227932826779247,0.108789560293718,-0.0319798050744275,-0.0537304685970768,0.0291907374562984,0.0332946400128277,-0.0146586244742948,0.21862318901907,-0.0521208857654264,0.104386537565728,-0.043512968282999,-0.260924454388795,0.176704290326191,-0.0209796566871703,-0.0968739284108748,-0.0415922842531557,-0.153948371126254,-0.0107292572588663,0.0634706160971561,0.162137177129831,-0.189977934223616,0.391250125354721,0.00980406283957987,-0.00277689921531729,-0.0482607409150848,-9.0205620750794e-16,-0.0332669444600931,0.0287327413039894,-0.21708387309585,0.156003159345209,-0.109947096870747,-0.30313811061578,-0.0146464169812754,-0.251717861600831,0.0376438954043406,0.165819402171056,-0.149095153475174,0.0971262558522502,0.0318838159285244,-0.0242282594793296,-0.107614448453383,0.0626966280337628,-0.0227419689335397,0.000470935582039189,8.70360045540062e-18,-1.47426239715385e-16,-0.172227843189018,-0.126914555657063,0.207059090134142
"kohl_pdt_desc_length",-0.0136804466183996,-0.0196670992686939,-0.0750743515370937,-0.117813966423947,0.0219221530469293,0.208706631512555,-0.21187566229698,0.336047398181882,0.45817921652301,-0.21615829488444,-0.185702987384628,0.273434477672856,0.501281315360943,0.302838889675898,-0.0719341596913175,-0.20310607540381,-0.133013767169383,0.0350102701418708,-0.00413798531905358,-0.0214310492827466,-0.0431197421552871,-0.0047586488267051,-0.00666492499090672,-0.0197258454899773,-0.0291697673650527,0.00787468090190406,0.00984555279844323,-0.00242966440321945,-2.25514051876985e-16,-1.71737624121704e-16,1.38777878078145e-17,-3.46944695195361e-16,-2.35922392732846e-16,2.35922392732846e-16,-5.68989300120393e-16,5.55111512312578e-17,-9.71445146547012e-17,-2.37657116208823e-16,-5.55111512312578e-17,3.68628738645072e-17,1.45716771982052e-16,-1.38777878078145e-17,2.08166817117217e-16,-8.67361737988404e-19,1.99493199737333e-17,2.77555756156289e-17,-8.32667268468867e-17,-8.50014503228635e-17,-1.85398571495021e-17,1.1939735106658e-17,-2.14020777154518e-18,-2.0122792321331e-16,1.14491749414469e-16,1.38777878078145e-17
"Amz_pdt_desc_length",0.0116438917592375,-0.0848726256027787,-0.219829276986822,0.00789463908516586,-0.12613517246805,-0.336072502374222,0.107696083229519,-0.152959195203331,-0.221991286572764,0.0900823414050193,-0.238471153844202,-0.113372804645935,0.218175786716252,0.412228150757936,-0.608479311671107,0.152749078154043,-0.0128055142347992,-0.116765301958873,0.0156403443011334,0.0667891850323943,0.092299572185113,0.119799681102507,0.00303753902575365,0.000125066263561791,0.0235084447929025,0.0160783953413663,0.000132131832543916,-4.96526978125272e-05,-2.66713734431434e-17,5.75494513155306e-16,8.32667268468867e-17,3.19189119579733e-16,1.94289029309402e-16,2.08166817117217e-17,-2.94902990916057e-17,3.29597460435593e-17,-7.45931094670027e-17,3.0140820395097e-16,3.12250225675825e-16,7.19910242530375e-17,-1.59594559789866e-16,4.5102810375397e-16,-2.81025203108243e-16,7.11236625150491e-17,7.97972798949331e-17,3.12250225675825e-16,-1.01481323344643e-16,3.46944695195361e-17,-1.1817803680092e-17,2.37282119367064e-18,-7.97333880561904e-19,3.95516952522712e-16,-1.31838984174237e-16,-1.70002900645727e-16
"Target_pdt_desc_length",-0.0194126201864298,-0.113553840501852,0.0556797784237605,0.209566460039313,0.19648904910493,-0.00456264563796323,0.00864532348070623,0.0534409771357602,-0.098255743457604,-0.0523279556392965,-0.0872469846522333,0.79697493628279,-0.276629057593293,-0.128344253098379,-0.307044548177706,0.183186339559492,0.0482368478388571,0.137363108421979,-0.0114938817792936,-0.000355422172479309,-0.0177659381742929,0.0117089581885615,-0.00984599869589279,0.0119366823114289,-0.00749601489491951,-0.00804085655344033,-0.00189375368126299,-0.00192041767195775,5.68121938382404e-17,-2.09901540593194e-16,-2.77555756156289e-17,-1.04083408558608e-16,4.71844785465692e-16,-1.2490009027033e-16,-1.94289029309402e-16,-2.22044604925031e-16,9.71445146547012e-17,-1.42247325030098e-16,-1.66533453693773e-16,-5.20417042793042e-18,5.55111512312578e-17,-2.08166817117217e-16,-1.38777878078145e-17,-1.64798730217797e-16,1.21430643318376e-16,-1.11022302462516e-16,9.36750677027476e-17,-2.77555756156289e-17,-2.42861286636753e-17,-3.18129371283575e-18,8.04481857381065e-19,-2.15105711021124e-16,2.25514051876985e-16,2.77555756156289e-17
"Price_diff_amazon_final_pr",-0.0202542806999541,-0.243333816469066,-0.173418995789683,-0.000867162284663958,-0.0165724702527507,0.0278404498769154,-0.113197585412825,-0.0293076587086949,-0.0307907235087554,0.0227845152185575,-0.0434904087776226,0.0562530814489776,0.121362326171803,0.029247712589183,0.191038661180263,0.248285205966911,0.36543583431621,-0.152677877835568,0.0508532225269255,-0.0378238231695544,0.0928493302207431,-0.276062487675546,-0.0758814856445398,-0.564632962356512,0.0597160034235795,-0.291689291209408,-0.010705125590049,-0.341026198727029,-1.36795143355212e-14,-1.43244791028785e-15,1.52655665885959e-16,-3.05490225130378e-15,-6.33174068731535e-16,5.27876353739742e-15,-3.60822483003176e-15,-9.26645912779911e-15,-2.60208521396521e-16,7.50896740620011e-15,-5.38805111638396e-15,4.32846033321388e-15,2.16840434497101e-19,-1.30163891817747e-15,4.46257614195034e-16,-1.34874750257197e-16,9.66132555901833e-16,-6.33607749600529e-16,1.26201132877313e-16,1.5185335627832e-15,3.04145814436496e-16,1.91990185637143e-18,-7.28428041164822e-19,-1.64852940326421e-15,1.67314079257963e-15,2.28289609438548e-15
"Price_diff_target_final_pr",0.004321897927965,-0.197819301649138,0.10789899476524,-0.289754676112384,-0.125508441185057,0.0255532315028983,-0.101478810631535,-0.070650326104165,0.119025454529642,0.128091298130207,-0.00592145745099165,0.0618133005366475,-0.00328098492856332,-0.156568528757118,-0.0514459219122344,0.0258908103092641,0.219067510172031,-0.142980587186336,-0.00395759353765371,0.0491993068330789,-0.00922770149005889,0.269778244001249,0.0478050667416268,-0.199467838294707,-0.180136890277831,0.502213328104169,-0.108532214704743,0.0526408826694934,-0.00231990850497466,-0.040318533235927,1.30451205393456e-15,-0.027792246460371,0.0240042312500538,-0.181358661024319,0.130329921292306,-0.0918532454190397,-0.253251064036643,-0.0122360750922966,-0.210292978860177,0.0314488882518525,0.1385307177393,-0.124558757008785,0.0811423136157664,0.0266367376013681,-0.0202410461701171,-0.0899044779330902,0.052378725092685,-0.0189993525360674,0.000393434322730986,1.2652279192709e-17,-1.17767301228225e-16,-0.143884529911966,-0.106028391470144,0.172983643621747
