"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63"
"kohl_Regular_price",0.181536198057903,-0.154378833122765,0.0556103681869656,-0.00510922393565592,0.0808856051559272,-0.0059723390323013,0.0224880963723556,-0.074765089701309,0.00330483589110133,-0.0204620652543839,0.0586153310161336,-0.0874484219125553,0.0320083800663743,-0.0372285558144736,0.0302447375952358,-0.00967474424552044,0.0422617616061099,-0.0147189379236899,0.109176912818103,-0.0526811472689409,-0.00194968116098473,0.00807305694022061,0.0393119301197274,0.0105924250832327,-0.0837094174929179,-0.0419162354696417,0.0683436950084417,0.0679415571437559,0.096787185308892,-0.216038877097165,-0.0683386815791197,-0.00138813639172602,0.0410055750865819,0.0951960852029647,0.0099990628216319,0.0235206616765107,-0.0363549325590733,-0.012442952110261,-0.0580150670407371,-0.0563485674011213,-0.014279370730839,-0.0155640371469038,0.0133967520630965,0.0753411042888786,0.0523565986186785,0.103524647039778,0.00153969893353284,0.259592295247268,0,0,0.841863797854469,0,0,0,0,0,0,0,0,0,0,0,0
"kohl_disc_perc",0.0342880065734594,-0.0212166667393715,-0.0296636471252623,0.101018564892469,0.403866977941844,-0.144067276964689,0.308556284994611,-0.258401024455583,-0.0604621768304596,-0.0907091573118299,-0.0405761744647572,0.0142354070691026,-0.103284001591559,-0.0343838825436967,0.030569387349031,-0.0117164631021149,0.0915911628759713,-0.0797243566555627,0.0130508604427439,0.00773299916243526,-0.0209388073914177,-0.302587908887663,0.164643594588403,0.127496444018002,0.0439692150771794,-0.0351000333056648,-0.0615175566124576,-0.184627077228301,-0.207060226979516,0.302853388576071,0.0292323685456807,-0.0587078837218914,0.0188489444971915,-0.102557579563362,-0.00529310724222198,0.00921663398452177,0.0133205865067094,0.0834305045031132,-0.413085791087807,-0.234139353397687,-0.184378550308592,0.0330748223933126,0.0683472594740358,0.0310944934785875,-0.000831129372568861,-0.0140401776941502,0.00376721045426836,-9.85322934354826e-16,-1.59421087442269e-15,-1.61676227961038e-15,4.16333634234434e-16,3.19189119579733e-16,-2.56739074444567e-16,-7.41756916305958e-16,-2.08166817117217e-17,-2.0122792321331e-16,-1.46410661372443e-15,-6.38378239159465e-16,1.83880688453542e-16,-6.24500451351651e-16,6.24500451351651e-17,9.71445146547012e-17,-3.81639164714898e-17
"kohl_markdown_price",0.101977183568231,-0.100899911863027,-0.0150639277471328,-0.0266019730175985,0.381976211321826,-0.0803362699153411,0.141742681965647,-0.0529409205903721,-0.073001956106371,-0.136861276282111,-0.0643450574194903,-0.0692363385466223,-0.12920004850067,-0.074855641287191,0.0639508883624851,-0.0282341765142691,-0.0854292461098042,-0.0165629613523133,-0.0938916142222646,-0.016598523150182,0.0560466039224531,0.403772869121782,-0.335774063449604,0.0077510802854548,-0.136575790705974,0.367910712868544,0.140863260532641,0.278940679633468,0.0381547488854488,0.189006246399474,0.225391279003709,-0.0785420373457505,-0.263586106599281,-0.0540950151126609,-0.0786846342797578,-0.0630723711000285,0.0111658367852955,-0.0612005852704646,0.0762021634458544,0.0696634536130424,0.0332441544631036,0.0477158136626637,-0.0321146244062081,-0.00185278904772236,0.00029157706346269,0.00903932329224063,-0.000574243504489267,3.33066907387547e-16,1.84916816061369e-16,-1.41162563383675e-16,-6.93889390390723e-17,-2.09712793423124e-17,5.99433599838158e-16,2.5556985127643e-16,-2.66835641806959e-16,3.71931669661271e-16,1.05466677840553e-15,2.08476012378398e-16,2.25651258477968e-16,2.03642234113481e-16,5.11063837988964e-17,3.06169353437031e-16,8.08871980059317e-18
"kohl_final_price",0.175227659015589,-0.158629067672156,0.0848480716770229,-0.0421208668774684,-0.0868135195938202,0.0488226839759331,-0.0660429986324334,0.0333245248580313,0.0212689094237452,-0.0140111722626381,0.0341103560220368,-0.087713774598201,0.0470219975778452,-0.0240803972940841,-0.00459173917036443,0.00714631906699488,0.0491830723215975,-0.00125075796808256,0.0189760277395517,-0.00079222027807304,0.0011903249808935,-0.0666130496442398,0.0675106232124607,0.0255596444173652,-0.0287150508120448,0.0497601848554556,0.0270594958305341,0.00836813738276179,-0.0568810092830378,0.165015579085678,0.00121878449051186,-0.0371874298021745,-0.0164808445905759,-0.0276382821245891,-0.00305595678696505,0.0164454091825236,0.0154793058184198,-0.000811737283964825,0.0411348729018636,0.0214720519838587,0.0094232210027322,-0.00332606696138584,-0.00896154489099493,-0.0393406946274596,-0.0400109509647028,-0.0800284222742634,-0.00164738309767749,-0.061528149931971,0.127761222500062,0.154879010243187,0.00749995709112855,-0.0023532226283379,0.175949834690661,-0.0495239534983892,0.0568352661614438,0.102711540833766,0.165562114937018,-0.0978214484659834,-0.022457475911134,-0.404578010822023,0.613713714618089,-0.41584419327496,0.0590044652034897
"amazon_Regular_price",0.161599504687622,-0.14205097719383,0.0438902290473724,-0.0533391918433431,0.153387296806605,0.025261699200324,-0.0445900003733347,0.0356026141496706,0.0222948313723018,-0.00617449298571478,0.0761879626283734,-0.016690699213657,0.227655342888509,0.0910982458049583,0.0489206572523136,0.0341555058599503,-0.156925389339845,0.325750133137291,0.00349531624967619,-0.063880450665007,0.0615477084645547,-0.127317062136849,0.0355129562569678,-0.0556766605946133,-0.218730677691851,0.00808151785055997,-0.0820907227138476,-0.138336327045508,-0.0263002737139706,-0.053413163168574,0.0988412178485525,0.0139186036058433,-0.0470986175159669,-0.00315110148147299,-0.00258530693492787,-0.0422848821476798,-0.00360501510977966,0.00476534172268515,0.0183893482875466,0.0103106663961317,0.00979650086252194,-0.00916914642432816,-0.0060664736689024,-0.0509129576266148,0.00433531708125859,0.00438225162985477,0.000587660508148127,-0.00912958235267459,-0.041017746632169,-0.0646603162967607,-0.0718291899596722,-0.0174853726061499,-0.0499914773263119,-0.00584791387258146,0.0365815807889818,0.184310462376533,0.00847172275915474,0.129459778055665,0.416152407602495,-0.421115393101533,-0.128544107756728,0.343341851575052,0.215321290740121
"amazon_Shipping",-0.142911638116349,0.0927946258795269,-0.0868047117064939,0.0220209291244216,-0.0463982532605579,0.117854124598863,-0.0974140622287967,-0.166421693450076,0.118129213708704,-0.0597427475879251,0.0524583501537842,-0.341761706504624,0.119101573235235,-0.118761492403389,0.143071912011219,0.1045155018656,-0.013284832857709,-0.164264850592202,0.0737416406815007,-0.346923137419456,0.226534778114452,0.218718232994368,-0.160678078669779,0.125286804215281,-0.15845220849738,-0.330465072995583,-0.0956739474657951,-0.191472283672282,-0.172075371590253,-0.00129613509431981,-0.0940750954575193,-0.254705444758818,-0.138450102850564,-0.30475047615986,-0.014301740350432,0.0745777314581752,-0.0933421752262917,-0.0819193102363723,0.0188458981018745,-0.0235275432395783,0.0206763589253894,-0.0165007762485267,0.0299235085210877,-0.00721303281034867,-0.000517803829350886,-0.00533949633481009,-0.007309862275035,2.84494650060196e-16,-9.33281230075522e-16,2.32452945780892e-16,1.11022302462516e-16,-2.53269627492614e-16,6.69603261727048e-16,6.24066770482656e-16,5.20417042793042e-18,5.55111512312578e-16,1.74773390204663e-16,-3.12250225675825e-16,-8.04911692853238e-16,-8.32667268468867e-17,7.56339435525888e-16,-1.2490009027033e-16,5.55111512312578e-17
"amazon_markdown_price",0.149319467452068,-0.161806547349824,0.0694170047895353,-0.059335837874485,0.0859275561415865,0.0387184743202064,0.0236167923304849,0.15592581404603,0.00755867899818599,-0.0394669899108493,-0.0373980095089343,-0.100180535689191,0.0448787056815158,-0.0336139528392485,-0.0511701158546159,-0.0220270282498507,0.10379474939291,-0.0482048491513468,-0.0652004385281105,0.140419826005582,0.102382031262225,0.0236808800759596,-0.0502576907463739,0.317651712513413,0.534525559567193,-0.159897849262778,-0.370600487514119,-0.0833234385420905,0.176416113285433,-0.226032695997658,0.323232736779745,0.0476917397297392,-0.233612410517852,-0.118175574417459,0.0296698087567762,-0.136359826986225,-0.0215968525925993,-0.0245467757608109,-0.0269703170106713,0.0548053664365839,0.0108526077984128,0.0161532905880172,-0.00838649385717232,-0.0271518305464729,0.00293088897728595,-0.00671040196475086,0.00108055108237582,1.31838984174237e-16,-6.40275592961315e-16,9.67650438943313e-17,-4.44089209850063e-16,1.8247122562931e-16,6.91504145611255e-16,8.42641928455734e-16,-4.82144706104304e-16,1.29236898960272e-16,2.34296089474118e-16,4.82578386973298e-16,-2.0122792321331e-16,1.04083408558608e-17,2.24646690138997e-16,2.84603070277445e-17,-4.39752401160121e-16
"amazon_final_price",0.161599504687622,-0.14205097719383,0.0438902290473727,-0.053339191843343,0.153387296806605,0.0252616992003241,-0.0445900003733345,0.0356026141496705,0.0222948313723018,-0.00617449298571465,0.0761879626283734,-0.0166906992136567,0.227655342888509,0.0910982458049582,0.0489206572523136,0.0341555058599502,-0.156925389339845,0.325750133137292,0.00349531624967649,-0.0638804506650069,0.0615477084645546,-0.12731706213685,0.0355129562569679,-0.0556766605946129,-0.218730677691851,0.00808151785055979,-0.0820907227138474,-0.138336327045508,-0.0263002737139712,-0.053413163168574,0.0988412178485526,0.0139186036058432,-0.0470986175159667,-0.00315110148147281,-0.00258530693492747,-0.04228488214768,-0.0036050151097803,0.00476534172268527,0.0183893482875461,0.0103106663961315,0.00979650086252166,-0.00916914642432653,-0.00606647366890246,-0.0509129576266137,0.00433531708125856,0.00438225162985416,0.000587660508148154,0.0479458167955734,-0.161027107351926,-0.201377643584604,-0.0894286328918993,-0.0811789652855023,-0.145536073672929,0.000415402114502182,-0.152862767381839,-0.322030867396688,0.146954842689697,-0.0881839516531527,-0.28960829483454,0.426092264954915,0.206120937781914,-0.150648163050508,0.0759978242810977
"Target_Regular_price",0.179552591492547,-0.125868672292301,0.0264610039264962,-0.073954793239383,0.135221532954631,0.0398854251682968,-0.123798981867386,0.101460179206663,0.0441567164730547,-0.0183575614403677,-0.0324598570855897,-0.0793975854162088,0.00133325417079326,-0.012440869698984,-0.0674845795430848,-0.0325415516732798,0.121476403742887,0.0296159399365466,-0.0854821270736106,0.0163504759671236,0.0546392441551379,0.10254882750236,0.000530469429812622,-0.0400055423222547,-0.0580766675185284,-0.0235566887222918,-0.233669228639756,-0.0139462191282174,0.0577677301553139,0.138037146039394,-0.221196127009218,-0.096579847095052,0.131087835509829,0.171394136143533,0.0535111600338557,0.122702965274231,-0.0147869747963696,-0.0571117267488033,-0.0376114186172361,-0.0164900213427087,-0.0220430849078219,0.0159722000383312,0.0138864542892503,0.167220680517211,0.270194587637115,0.599647103111568,0.014870307617696,-0.0282515416849214,0.0299782801939277,0.0240382750594488,-0.171711764277431,0.0276277932424442,0.0407208320868792,0.0258927854135858,0.0117865666552381,-0.0273168836790124,-0.0458160625858826,-0.161353776370805,0.00543031615439828,-0.0425844122899429,0.0132515747681265,0.0785639108935036,-0.3221021719844
"Target_disc_perc",0.0923934907870361,-0.00263629880845817,-0.0841347599832163,-0.0511726564649546,0.158074050023353,-0.0203737228836516,-0.367141373745449,-0.281966273374229,0.309504291428063,-0.0233712998433735,0.0721180821616865,0.277848762508822,-0.0129425286089446,-0.0102296723163151,0.0842658827834177,-0.136807515047963,0.0210634330448607,-0.0579597400232992,-0.0652593397627252,0.0405496222496403,0.0356098221668628,-0.028885693565863,-0.0395161488862037,-0.0414151890656651,0.123073950100253,0.0203148193686356,0.0187584363154077,-0.0669690381240018,0.0648526917731695,-0.0540906203507678,0.133254638309908,-0.00269559869179418,-0.0813015167354746,-0.0289349774544709,-0.118553536923193,0.579716710729184,0.185011897963837,0.209979684492801,0.105752444958128,-0.033709243172156,0.0422138925842045,-0.0170592474274687,0.0340288326422931,0.124316182491185,-0.07595655207364,-0.0646143748774653,0.00279557976308542,-4.23272528138341e-16,8.89045781438114e-16,-2.80157841370254e-16,4.57966997657877e-16,9.54097911787244e-16,-7.48533179883992e-16,1.02088476561235e-15,8.30932544992891e-16,3.64075089520632e-16,4.35415592470179e-16,1.43982048506075e-16,-2.55871712706579e-17,3.37403716077489e-16,-5.41233724504764e-16,-2.4459601011273e-16,2.0122792321331e-16
"Target_markdown_price",0.0925794260368457,-0.0045495287081174,-0.0849875381214715,-0.0579559517125237,0.161341314606976,-0.0157929851777299,-0.380965938921356,-0.276505352302097,0.299922149880089,-0.0167478969798173,0.0425049044080946,0.259714023497482,-0.00204131893261605,-0.0458483786823937,0.0193482273281873,-0.154373480243775,0.08784737217691,-0.0434485266641213,-0.0196273909215828,0.0598864286354859,0.0156956284162254,0.0156906469395684,-0.0641241253446762,-0.0641129859353293,0.0513171732960726,-0.106078179550662,0.0820920204288486,-0.027292704753689,0.0470441755311911,0.107105780628671,-0.122412359825247,0.0099154003774245,0.0743390123781126,0.0224322996167645,0.122968779356017,-0.566872251168661,-0.203702836653527,-0.251878886525037,-0.0602105596132009,0.0785031742244205,-0.0241956963184921,0.0282644099789649,-0.0535363310216997,-0.070763385124301,0.000937892176421707,-0.0905199164678243,-0.0070280902171068,-4.09394740330526e-16,-1.74412892982312e-15,1.22455214371375e-15,-1.31145094783847e-15,5.19546292923265e-16,9.10729824887824e-18,1.09890666444984e-16,8.35730139606139e-16,2.51263853473516e-16,1.55311961208549e-16,-1.86211723124385e-16,-2.21881974599158e-16,-4.48426018540005e-16,5.56846235788555e-16,-4.1055348140237e-16,-1.36717893950422e-16
"Target_final_price",0.175853786917973,-0.133949050707427,0.0442164544867953,-0.0701299816083754,0.113755347694095,0.0421982757501588,-0.0516954012091291,0.154692685148305,-0.0113469173170545,-0.0183812101591172,-0.0381532950964366,-0.137227590405135,-0.000687382318018265,-0.0136832398807446,-0.0755699158413109,-0.00749308189410863,0.111489078098767,0.039042185858253,-0.0855310941178909,0.0131044650989336,0.0495426944353132,0.118452061233689,0.0134475797677644,-0.0306654289193672,-0.0889151239186443,0.00255116914221054,-0.259870509250943,0.0175855998878696,0.0399014211336435,0.115833746894831,-0.235153751432638,-0.100567660321918,0.145450218131952,0.18689724148011,0.0461838700281848,0.141377591932915,-0.0236858341216752,-0.0295114531356499,-0.0329706631734066,-0.0617763528020045,-0.00789984354950654,-0.0418928355310415,-0.0190181153678615,-0.0761284948146666,-0.239444376980038,-0.478432506256592,-0.010291193786645,-0.00347862624278124,0.0451825795209162,-0.0587483343322365,-0.00827013711258174,0.109572735213459,-0.119414251953024,0.114746306425889,0.0385543603698697,0.100688820087891,-0.348083624852333,0.30369081755166,-0.0886364469118154,0.0709101164949574,-0.0284893996204921,-0.0724417199597793,-0.114830218925475
"kohl_pdt_desc_length",-0.040487022713546,0.0844464595152162,-0.0388698435986858,-0.00328741335628825,-0.0643950987536912,-0.116639768507166,-0.156550155125026,-0.162928607958076,-0.0937605561156744,-0.471566635341229,-0.0609564860232236,-0.353192393803249,0.220954055145119,0.135608038169418,-0.377947507452988,-0.287144414677111,-0.140955860431003,-0.119192318342019,-0.0757136367622596,0.143596755373749,-0.203553735309303,-0.256265532380147,-0.26696657057576,-0.0409187889638336,-0.0276636946022877,0.0858815594253533,-0.0425549108252325,0.023123438037147,-0.0458188054267249,-0.0999122998544486,-0.0575560566573918,0.00593869344339989,-0.0271061166828009,0.0113596479462919,0.0285039324285557,0.01388826720512,-0.00794408757854555,0.00469112171529745,-0.0120765081587414,-0.014208849870304,-0.00114676542320858,-0.00498579736631214,0.00209770150326273,-0.00490282986061215,0.00136759330351758,0.00387478161023938,0.000327061580071576,1.56125112837913e-17,-5.89805981832114e-17,3.03576608295941e-17,2.08166817117217e-17,-1.38777878078145e-16,-2.18575157973078e-16,7.28583859910259e-17,-6.41847686111419e-17,-3.05311331771918e-16,-1.80411241501588e-16,2.08166817117217e-17,1.89084858881472e-16,2.60208521396521e-17,2.42861286636753e-17,2.94902990916057e-17,-3.33066907387547e-16
"Amz_pdt_desc_length",0.0272922146892682,0.00996713526157384,-0.0221951033240443,0.0059334942282237,0.0939401399232943,0.00917598782169665,-0.243458770582843,0.269183157720078,0.0667344649939461,-0.218938804074124,-0.0834900003658847,-0.173173856704623,-0.418584057094696,0.515692414942575,0.43917018546335,0.091846611628155,-0.157992478086101,-0.191420253596425,-0.029024446461753,0.0275096026811791,0.010762047304314,-0.132036681251687,0.0773982465218589,0.111898038171541,-0.0374469830452254,0.0327589072984269,0.079883793240479,-0.0592696830526339,0.00611381476107146,-0.0742680372740729,-0.0161037046814184,-0.029292561012497,0.0296196114153664,0.0301315419326273,0.000147656764810593,-0.0632129012890472,-0.0143214219302356,0.00642598097895832,0.000379564848232122,-0.0277037136959176,0.00151743230182912,-0.0273013755853693,0.0129393177930505,0.00274123982444023,0.0118581197989206,-0.00442333761268874,-0.00062654526356416,-2.08166817117217e-16,-4.9439619065339e-17,-5.57279916657549e-17,1.38777878078145e-17,-1.88868018446975e-16,-1.96240593219876e-16,-1.28803218091278e-16,-2.12503625807159e-16,-2.68882138776405e-17,2.35055030994857e-16,5.11743425413158e-17,9.6710833785707e-17,-4.5102810375397e-17,-1.14274908979972e-16,3.51281503885303e-17,2.11311003417425e-16
"Target_pdt_desc_length",0.0501163194262307,0.019550765813263,0.0437896542847815,0.0725087578014255,0.0398207102012681,0.124077189613751,0.151249428340024,-0.102977295385066,0.215762145786118,0.53636663898166,0.0593987974297901,-0.360933150475424,0.00312822062008837,-0.114936961746302,0.186503742120088,-0.174147332100992,-0.330351010377033,-0.0983842352709102,-0.227952880431213,0.403461349112938,-0.0533781920719611,-0.0951881283259823,-0.154635732409022,-0.00678545130339385,-0.004648629523546,0.0215980410234667,0.0191945403684668,-0.0599651527009252,0.0243206837569653,0.00151077800121631,-0.0885444496677371,0.0169323829678437,0.08256138091828,-0.0074682547721529,-0.0210279515253966,-0.010608614762187,-0.00560971192686237,0.0106621195372715,0.0283510356441191,-0.0151718509165157,0.00645124885288897,0.010559675361259,0.03989722788033,0.00264859506281822,0.0118083178833955,-0.00107204010981697,0.000571116015690273,-7.63278329429795e-17,9.83913471530595e-17,1.3310614546333e-16,-9.71445146547012e-17,-2.61509564003504e-16,-1.70978682600964e-16,-3.48896259105835e-16,-1.15359111152458e-16,-1.96674274088871e-16,-4.64038529823796e-17,3.33934269125535e-17,3.30790082825327e-16,-2.40692882291782e-16,-2.51534904016637e-17,-1.55040910665427e-16,-4.62412226565068e-17
"Price_diff_amazon_final_pr",0.149513058031781,-0.138341385852751,0.0966298939218966,-0.0257168872901711,-0.238724810708731,0.0555973788824275,-0.0678592583217496,0.0249994509236847,0.0162574414204855,-0.0167136663133031,-0.00244367203459808,-0.120122815478009,-0.0898581755689112,-0.100460993598489,-0.0414082250656133,-0.0133439347827058,0.184635517919507,-0.231631739555652,0.0260689115622128,0.0438635092444711,-0.0416196024566484,-0.0103691935143862,0.0764681404296616,0.077702549444872,0.111091683614348,0.0691242448843188,0.0985876584029331,0.110151485595515,-0.0669821349813157,0.285805254747638,-0.0678798529592589,-0.0657353060863657,0.00843641179631593,-0.0393370713847717,-0.00277181361975887,0.0545523252931713,0.0258187603430416,-0.00458159195252555,0.0488843150357137,0.0250153157519584,0.00726019282406849,0.00146559326904368,-0.00919675436775294,-0.0232475757080024,-0.0632219451112155,-0.123429106363386,-0.00289163708355597,0.152672287177249,-0.249155719225617,-0.347280752306828,-0.0116817890446643,-0.105504149929676,-0.22654483466161,0.0245242381627464,-0.150198325408782,-0.229264631420027,0.163346428806025,-0.142301569862435,0.18617798415021,-0.0459449901918842,0.126484704155894,0.370991011437564,0.0121491891524196
"Price_diff_target_final_pr",0.145788337310002,-0.152789099427263,0.104335179908421,-0.0120807587334242,-0.2378107282046,0.0462244013824329,-0.0669684577716014,-0.0722184882693736,0.0446431147480428,-0.00809630321462379,0.0880462085489454,-0.0324219773340661,0.0785868285821124,-0.0286759311752517,0.0546727083061963,0.0180338396110026,-0.0102932794693253,-0.034257337973039,0.101987902872645,-0.0121163409266952,-0.0388624780728337,-0.20816498713154,0.100930841089693,0.0676864604196092,0.0256469365299049,0.0804606038740466,0.259106286689471,-0.000610966881240405,-0.127268880868835,0.178318025579782,0.195856896347072,0.0211943837216948,-0.147238500347736,-0.199915562079869,-0.0431393866817482,-0.0892493087793589,0.0452076744808853,0.0229791092692662,0.09542949884365,0.0865486044427657,0.0221470287969602,0.0290130999592016,0.000807175155416298,-0.00252330983225814,0.130984069938315,0.261581241165074,0.00574953343445616,-0.00422015357442477,0.0548140016084582,-0.0712715238201593,-0.0100330550800249,0.132929995319368,-0.144869395860733,0.139206399716076,0.0467728667494093,0.122152325183106,-0.422283467983459,0.368427591745665,-0.107530787199574,0.0860257931446934,-0.0345623913725103,-0.0878838834900025,-0.139308199567623
"Price_diff_amazon_reg_pr",0.175173875660707,-0.146595445576716,0.0565402282954393,0.0200947181938392,0.0363086787133855,-0.021446515704212,0.0548375208212965,-0.124540899781971,-0.00673708676094453,-0.0259204262416299,0.0442463892213736,-0.11574938756807,-0.0712634515947296,-0.0996454556454785,0.017902276965712,-0.031271195269091,0.140562934774397,-0.188000143680389,0.153404852459841,-0.0421233118716451,-0.0343392583365637,0.076776799859582,0.0376683006978248,0.0436138729167939,-0.00680826021360348,-0.0637299323647507,0.139256424094155,0.167533073038873,0.15107467762072,-0.279708894343232,-0.147840604624474,-0.00911210286359343,0.0824472266646617,0.136939710295164,0.0155399077875904,0.0551230449745324,-0.049830399515536,-0.0201320919428598,-0.0919016797718086,-0.0853891651631544,-0.0253230799827405,-0.0174218081450413,0.0221552903014873,0.133212373631738,0.0722025800184821,0.144915113315004,0.00188730858677034,-0.134262874701006,-0.051307937297778,-0.0411415965665519,-0.298340933628187,-0.0472850701971614,-0.0696938545477555,-0.0443155978885958,-0.0201727523724351,0.0467529473307743,0.0784143603696184,0.276157584332416,-0.00929400615894907,0.0728833789497495,-0.0226801191696721,-0.134462423725348,0.551279057262461
"Price_diff_target_reg_pr",0.162996792504183,-0.155293021094322,0.0676799047623876,0.0382590881749218,0.0382865943432725,-0.0338386148254033,0.111007734641371,-0.176207869605042,-0.0224589863552699,-0.0195420295066313,0.108866319083671,-0.082929978402648,0.0475974437173431,-0.0485879166987633,0.0877237391206149,0.00559881866774724,-0.0116012415568165,-0.0406855231814629,0.218334651614587,-0.0898706321304566,-0.0369273081771684,-0.0515562902555782,0.0591464389717755,0.0409031902666371,-0.0905315897730494,-0.0487676574485705,0.248707308486007,0.111463514440263,0.110509488707449,-0.412691124362617,0.0341596082666519,0.0579582989064069,-0.0194786640184479,0.0374433530960767,-0.0181481577874862,-0.0407180092702688,-0.0458072511095381,0.0166897400333582,-0.0643841353047018,-0.0749972348929257,-0.0078961740913638,-0.033479702650114,0.0116330555076284,0.0099993744067394,-0.0888092614753293,-0.216266432796006,-0.00691768243871198,-0.0454312306958751,0.0482079944006192,0.038655887594971,-0.2761292414795,0.0444281824480286,0.0654830641562554,0.0416381208715237,0.0189539471791936,-0.0439282095877964,-0.0736766910680375,-0.259472588069952,0.00873247728260005,-0.068479882633282,0.0213098229147528,0.126338420748125,-0.517971664918939
"Price_rat_amazon_final_pr",0.117930371774845,-0.115233461204259,0.0718413814695032,0.0307923409080578,-0.376953598231617,-0.00291962490793425,-0.0380114943515925,-0.017426980024766,-0.00506460950733501,0.0148577175659907,-0.0799607667741191,0.0648500733525183,-0.210069140323429,-0.0277090222056844,-0.0168505506843655,-0.051005194896312,0.0142167108232169,-0.0741101605872861,-0.125428413178242,0.000194868638298734,-0.0211667623816151,0.134733157287305,-0.0990177442715884,-0.283603728731289,-0.243546846824984,0.07884979557293,-0.185762211894109,-0.2721164088806,-0.02380262232454,-0.076397750424933,0.227940334864131,0.0806887042213499,-0.119003598100469,-0.0383737212738011,-0.0340593584431193,-0.131044990188497,-0.0631375768720899,0.0326063045406176,-0.273858419981485,-0.102732472447313,-0.0958112807637296,0.104016601722822,0.0564368290463911,0.486019506780652,-0.063544762872492,-0.0836287221923567,-0.00193104187506236,-3.02015357167562e-15,9.98767041293647e-16,-2.30186963240397e-15,2.77555756156289e-17,1.37541887601511e-15,-7.13838710364456e-16,3.73832909073002e-16,-1.13244916916111e-16,1.91730312182337e-15,-1.44415729375069e-16,-4.5102810375397e-17,-6.33960115306587e-16,-2.22261445359528e-16,-4.00721122950642e-16,2.60208521396521e-17,-1.17267306976032e-15
